Storenumber	Fiscal Transaction Date	Fiscal Year	Fiscal Period	Fiscal Week	Orders
6014	2/27/16	2016	3	9	189
6014	2/28/16	2016	3	9	152
6014	2/29/16	2016	3	10	90
6014	3/1/16	2016	3	10	100
6014	3/2/16	2016	3	10	134
6014	3/3/16	2016	3	10	163
6014	3/4/16	2016	3	10	274
6014	3/5/16	2016	3	10	195
6014	3/6/16	2016	3	10	143
6014	3/7/16	2016	3	11	101
6014	3/8/16	2016	3	11	81
6014	3/9/16	2016	3	11	98
6014	3/10/16	2016	3	11	132
6014	3/11/16	2016	3	11	262
6014	3/12/16	2016	3	11	200
6014	3/13/16	2016	3	11	147
6014	3/14/16	2016	3	12	107
6014	3/15/16	2016	3	12	115
6014	3/16/16	2016	3	12	134
6014	3/17/16	2016	3	12	137
6014	3/18/16	2016	3	12	253
6014	3/19/16	2016	3	12	164
6014	3/20/16	2016	3	12	146
6014	3/21/16	2016	4	13	94
6014	3/22/16	2016	4	13	105
6014	3/23/16	2016	4	13	34
6014	3/24/16	2016	4	13	174
6014	3/25/16	2016	4	13	252
6014	3/26/16	2016	4	13	182
6014	3/27/16	2016	4	13	0
6014	3/28/16	2016	4	14	90
6014	3/29/16	2016	4	14	121
6014	3/30/16	2016	4	14	148
6014	3/31/16	2016	4	14	172
6014	4/1/16	2016	4	14	217
6014	4/2/16	2016	4	14	192
6014	4/3/16	2016	4	14	142
6014	4/4/16	2016	4	15	87
6014	4/5/16	2016	4	15	125
6014	4/6/16	2016	4	15	130
6014	4/7/16	2016	4	15	160
6014	4/8/16	2016	4	15	240
6014	4/9/16	2016	4	15	183
6014	4/10/16	2016	4	15	158
6014	4/11/16	2016	4	16	88
6014	4/12/16	2016	4	16	115
6014	4/13/16	2016	4	16	115
6014	4/14/16	2016	4	16	123
6014	4/15/16	2016	4	16	227
6014	4/16/16	2016	4	16	134
6014	4/17/16	2016	4	16	129
6014	4/18/16	2016	5	17	99
6014	4/19/16	2016	5	17	105
6014	4/20/16	2016	5	17	113
6014	4/21/16	2016	5	17	127
6014	4/22/16	2016	5	17	226
6014	4/23/16	2016	5	17	175
6014	4/24/16	2016	5	17	179
6014	4/25/16	2016	5	18	81
6014	4/26/16	2016	5	18	99
6014	4/27/16	2016	5	18	111
6014	4/28/16	2016	5	18	149
6014	4/29/16	2016	5	18	223
6014	4/30/16	2016	5	18	196
6014	5/1/16	2016	5	18	142
6014	5/2/16	2016	5	19	96
6014	5/3/16	2016	5	19	111
6014	5/4/16	2016	5	19	129
6014	5/5/16	2016	5	19	138
6014	5/6/16	2016	5	19	252
6014	5/7/16	2016	5	19	191
6014	5/8/16	2016	5	19	127
6014	5/9/16	2016	5	20	89
6014	5/10/16	2016	5	20	137
6014	5/11/16	2016	5	20	113
6014	5/12/16	2016	5	20	157
6014	5/13/16	2016	5	20	253
6014	5/14/16	2016	5	20	211
6014	5/15/16	2016	5	20	150
6014	5/16/16	2016	6	21	101
6014	5/17/16	2016	6	21	104
6014	5/18/16	2016	6	21	120
6014	5/19/16	2016	6	21	130
6014	5/20/16	2016	6	21	243
6014	5/21/16	2016	6	21	202
6014	5/22/16	2016	6	21	144
6014	5/23/16	2016	6	22	106
6014	5/24/16	2016	6	22	130
6014	5/25/16	2016	6	22	122
6014	5/26/16	2016	6	22	177
6014	5/27/16	2016	6	22	207
